"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"18","20_9","52_6","73_2","37_6","20_9","81_5","80_6","30_8","29_7","83_4","16_2","50_1","47_6","77_1","16_2"
"19","30_8","56_1","84_6","47_6","24_6","93_10","83_4","41_10","41_10","84_3","20_1","54_3","61_4","79_3","16_10"
"20","53_6","56_2","89_10","49_3","42_1","95_9","84_3","42_1","49_10","86_4","29_4","68_8","61_8","87_2","17_5"
"21","68_8","58_6","93_2","51_4","62_7","1_4","86_4","50_1","53_6","94_3","29_7","73_5","65_7","89_5","20_9"
"22","79_5","60_4","96_3","56_1","68_8","6_4","94_3","53_6","70_8","97_5","41_10","79_5","69_2","98_6","27_6"
"23","1_4","67_3","1_2","56_2","81_5","8_1","97_5","62_7","81_5","3_1","42_1","93_10","78_2","99_4","29_4"
"24","6_2","69_6","36_3","57_2","93_10","10_8","2_5","68_8","93_10","10_9","49_10","97_8","84_5","1_8","29_7"
"25","10_8","76_2","38_1","60_2","1_4","13_8","3_1","70_8","5_6","16_10","50_1","1_4","87_4","4_4","30_8"
"26","16_8","84_6","47_3","61_8","3_5","15_7","10_9","73_5","6_5","20_1","54_3","12_9","89_10","4_7","41_10"
"27","18_8","85_5","55_10","67_3","5_6","16_8","16_10","79_5","16_8","20_9","68_8","25_4","93_6","15_2","42_1"
"28","19_6","89_10","58_1","69_2","6_2","25_6","17_5","95_9","25_6","24_6","70_8","26_1","94_4","16_5","49_10"
"29","22_3","19_1","60_10","73_3","6_5","27_8","20_1","3_5","29_5","27_6","73_5","29_5","94_6","22_10","53_6"
"30","25_4","19_10","62_3","76_1","15_7","30_5","20_9","8_1","31_7","29_4","79_5","30_5","7_6","24_7","54_3"
"31","27_8","32_10","64_3","78_2","18_8","31_7","24_6","8_6","31_10","30_8","81_5","31_10","18_2","24_9","62_7"
"32","30_7","60_10","71_6","85_5","29_5","38_3","27_6","10_8","36_9","50_1","95_9","36_9","51_2","25_1","79_5"
"33","36_9","62_3","72_2","93_2","30_7","39_10","29_4","13_8","39_3","54_3","97_8","38_3","60_10","26_9","81_5"
"34","39_3","64_3","75_3","12_8","32_6","43_8","29_7","19_6","39_10","62_7","3_5","43_8","66_1","28_3","93_10"
"35","55_9","65_8","77_4","13_9","36_9","47_6","30_8","24_1","48_8","70_8","8_6","46_8","73_10","32_9","95_9"
"36","60_9","70_6","94_7","14_10","37_6","49_2","41_10","25_4","49_7","95_9","18_8","48_7","74_1","33_5","97_8"
"37","64_2","71_6","6_7","15_6","46_8","49_7","49_10","27_8","52_6","97_8","22_3","48_8","75_3","40_2","3_5"
"38","73_3","72_2","15_10","17_10","49_3","52_3","50_1","30_7","55_9","5_6","24_1","49_2","78_5","41_1","5_6"
"39","76_2","80_10","17_9","19_1","52_6","57_6","53_6","32_6","57_2","6_4","25_6","49_3","79_3","43_2","6_2"
"40","78_2","82_9","18_9","25_3","56_2","60_4","54_3","33_6","59_2","6_5","29_9","52_6","80_10","46_3","6_4"
"41","87_4","87_2","19_4","36_3","60_9","64_2","62_7","37_6","60_2","8_6","30_5","56_2","87_2","50_2","6_5"
"42","89_9","91_4","22_10","39_6","64_2","65_7","68_8","43_8","64_5","15_7","31_7","57_6","90_7","53_5","8_1"
"43","90_6","94_7","23_3","40_6","65_7","73_2","70_8","48_7","65_7","16_8","31_10","58_6","4_1","61_2","12_9"
"44","92_7","98_6","23_8","41_6","68_9","87_4","73_5","48_8","69_1","24_1","33_6","59_2","19_4","62_5","13_8"
"45","93_5","100_9","26_9","45_2","69_1","88_2","81_5","49_2","69_2","25_6","37_6","60_2","19_5","65_1","15_7"
"46","98_8","1_8","32_9","47_3","78_2","89_9","93_10","52_6","73_2","26_1","38_3","64_5","37_9","65_9","19_6"
"47","10_5","4_4","37_10","48_4","78_8","96_2","95_9","56_1","84_6","29_5","48_7","69_6","37_10","70_3","22_3"
"48","12_2","7_2","43_3","53_1","84_6","96_3","97_8","57_6","85_5","29_9","52_3","84_5","40_7","74_5","24_1"
"49","12_8","7_4","46_4","54_2","89_9","98_8","1_4","61_4","93_2","39_10","58_6","85_5","55_8","85_3","25_4"
"50","13_9","15_10","50_3","57_5","90_6","99_1","3_5","68_9","94_4","46_8","59_2","88_2","58_8","89_6","26_1"
